Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_Saturday,Pax_Sunday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
Flinders Street,-37.8183,144.9671,24150000,78500,43200,32100,79800,71200,4200,16500,24200,23100,10500
Southern Cross,-37.8185,144.9525,18900000,61200,31400,22300,62500,56100,3800,14100,17300,18200,7800
Melbourne Central,-37.8100,144.9628,15450000,49500,28100,19200,50400,44300,2100,12800,14200,14600,5800
Richmond,-37.8241,144.9893,8210000,26400,11900,8900,26900,24100,1100,6900,6500,8800,3100
South Yarra,-37.8340,144.9954,7420000,23800,10800,8100,24200,21900,900,6100,6100,7800,2900
Box Hill,-37.8186,145.1221,4120000,13100,6200,4500,13400,11800,600,3800,3400,3900,1400
Footscray,-37.8011,144.9032,4950000,15800,7100,5100,16100,14300,800,4400,4100,4700,1800
Caulfield,-37.8771,145.0422,5100000,16200,7400,5300,16600,14200,700,4600,4200,4900,1800
Clayton,-37.9248,145.0858,3110000,9900,4400,3100,10100,8900,500,2900,2500,2900,1100
Dandenong,-37.9875,145.2146,2980000,9500,4100,2900,9700,8600,600,2800,2300,2700,1100
Ringwood,-37.8151,145.2292,2340000,7400,3400,2300,7600,6700,400,2100,200,2100,800
Camberwell,-37.8268,145.0585,2150000,6900,3100,2100,7100,6100,300,1900,1800,2100,800
Toorak,-37.8422,145.0058,820000,2600,1100,800,2650,2350,100,800,700,800,200
Melton,-37.6905,144.5956,1210000,3900,1400,1000,4000,3600,300,1300,900,1100,300
Parliament,-37.8115,144.9730,10200000,33100,14500,9800,33800,29800,1500,9800,8400,9900,3500
Flagstaff,-37.8119,144.9565,8100000,26800,4100,1200,27400,23900,1200,8700,6100,8200,2600
